"year","state","county","name","change","effective_date","source"
2002,"08","014","Broomfield County","add","2001-11-15","Census county changes 2000s"
2002,"51","560","Clifton Forge city","drop","2001-07-01","Census county changes 2000s"
2008,"02","105","Hoonah-Angoon Census Area","add","2007-06-20","Census county changes 2000s"
2008,"02","230","Skagway Municipality","add","2007-06-20","Census county changes 2000s"
2008,"02","232","Skagway-Hoonah-Angoon Census Area","drop","2007-06-20","Census county changes 2000s"
2009,"02","195","Petersburg Census Area","add","2008-06-01","Census county changes 2000s"
2009,"02","198","Prince of Wales-Hyder Census Area","add","2008-05-19","Census county changes 2000s"
2009,"02","201","Prince of Wales-Outer Ketchikan Census Area","drop","2008-05-19","Census county changes 2000s"
2009,"02","275","Wrangell City and Borough","add","2008-06-01","Census county changes 2000s"
2009,"02","280","Wrangell-Petersburg Census Area","drop","2008-06-01","Census county changes 2000s"
2014,"02","195","Petersburg Borough","rename","2013-01-03","Census county changes 2010s"
2014,"51","515","Bedford city","drop","2013-07-01","Census county changes 2010s"
2016,"02","158","Kusilvak Census Area","add","2015-07-01","Census county changes 2010s"
2016,"02","270","Wade Hampton Census Area","drop","2015-07-01","Census county changes 2010s"
2016,"46","102","Oglala Lakota County","add","2015-05-01","Census county changes 2010s"
2016,"46","113","Shannon County","drop","2015-05-01","Census county changes 2010s"
2020,"02","063","Chugach Census Area","add","2019-01-02","Census county changes 2010s"
2020,"02","066","Copper River Census Area","add","2019-01-02","Census county changes 2010s"
2020,"02","261","Valdez-Cordova Census Area","drop","2019-01-02","Census county changes 2010s"
2022,"09","001","Fairfield County","drop","2022-01-01","Census county changes 2020s"
2022,"09","003","Hartford County","drop","2022-01-01","Census county changes 2020s"
2022,"09","005","Litchfield County","drop","2022-01-01","Census county changes 2020s"
2022,"09","007","Middlesex County","drop","2022-01-01","Census county changes 2020s"
2022,"09","009","New Haven County","drop","2022-01-01","Census county changes 2020s"
2022,"09","011","New London County","drop","2022-01-01","Census county changes 2020s"
2022,"09","013","Tolland County","drop","2022-01-01","Census county changes 2020s"
2022,"09","015","Windham County","drop","2022-01-01","Census county changes 2020s"
2022,"09","110","Capitol Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","120","Greater Bridgeport Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","130","Lower Connecticut River Valley Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","140","Naugatuck Valley Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","150","Northeastern Connecticut Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","160","Northwest Hills Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","170","South Central Connecticut Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","180","Southeastern Connecticut Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
2022,"09","190","Western Connecticut Planning Region","add","2022-01-01","Census county changes 2020s / ACS 2024 county inventory"
